path,line,symbol,kind,status,owning_task,disposition,notes
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_typeinfo.cpp,291,asCTypeInfo::GetTypeId,id-query,active,2.2,read-publication-ids,Currently returns GetBoundTypeId or engine typeId; detached images report -1 until Engine attach
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_typeinfo.cpp,312,asCTypeInfo::GetEngine,GetEngine,active,4.1,exact-owner-or-null,Delegates to metadataOwner->GetBoundEngine(); external publications must stay null after 4.1
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_typeinfo.cpp,193,asCTypeInfo::SetUserData,user-data,active,4.1,engine-sidecar,plainUserData type-0 slot plus userData array
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_typeinfo.cpp,233,asCTypeInfo::GetUserData,user-data,active,4.1,engine-sidecar,Type-0 reads plainUserData
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_typeinfo.h,199,asCTypeInfo::plainUserData,user-data,active,4.1,engine-sidecar,Storage field consumed by VM predicates and Runtime template operations
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_scriptfunction.cpp,524,asCScriptFunction::GetId,id-query,active,2.2,read-publication-ids,GetBoundFunctionId while metadata-owned
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_scriptfunction.cpp,625,asCScriptFunction::GetTypeId,id-query,active,2.2,read-publication-ids,Callable TypeInfo ID through bound image
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_scriptfunction.cpp,1808,asCScriptFunction::GetEngine,GetEngine,active,4.1,exact-owner-or-null,Delegates to metadataOwner->GetBoundEngine()
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_scriptfunction.cpp,2019,asCScriptFunction::SetUserData,user-data,active,4.1,engine-sidecar,Function user data remains callable-local
Plugins/Angelscript/Source/AngelscriptRuntime/ThirdParty/angelscript/source/as_objecttype.cpp,494,asCObjectType::GetProperty,id-query,active,2.2,member-type-ids,Detached member typeId is -1; attached primitive fields use GetBoundDataTypeId
